Kabupaten/Kota Se Jawa Timur,,
,[Seri 2010] PDRB Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (Milyar Rupiah),
,2022,2023
Kabupaten Pacitan,17986.5,19490.5
Kabupaten Ponorogo,23028.3,25247.8
Kabupaten Trenggalek,20882.3,22740.1
Kabupaten Tulungagung,44133.5,47964.4
Kabupaten Blitar,41379.3,44891.7
Kabupaten Kediri,46650,50638.2
Kabupaten Malang,117422,128373.2
Kabupaten Lumajang,36663.7,40072.8
Kabupaten Jember,88030.5,95289.8
Kabupaten Banyuwangi,93279,101296.6
Kabupaten Bondowoso,22901.9,24773.4
Kabupaten Situbondo,23128.6,25225
Kabupaten Probolinggo,38932.8,42376.9
Kabupaten Pasuruan,172654.2,186946.2
Kabupaten Sidoarjo,245227.5,273698.1
Kabupaten Mojokerto,95798.1,104364.2
Kabupaten Jombang,45935.7,49984.5
Kabupaten Nganjuk,30819.8,33647
Kabupaten Madiun,21859.4,23833
Kabupaten Magetan,21194.7,22922.3
Kabupaten Ngawi,22455,24324.7
Kabupaten Bojonegoro,100492.9,97522.2
Kabupaten Tuban,75187.7,81860.1
Kabupaten Lamongan,45441.1,48927.3
Kabupaten Gresik,163907.9,176071.1
Kabupaten Bangkalan,27164.2,27740
Kabupaten Sampang,23009.3,24086.7
Kabupaten Pamekasan,19263.4,20881.3
Kabupaten Sumenep,40255.3,42848
Kota Kediri,152778.3,159749.9
Kota Blitar,7833.9,8515.2
Kota Malang,84807.4,93053.4
Kota Probolinggo,12931.4,14296.5
Kota Pasuruan,9452.8,10399.9
Kota Mojokerto,7637,8038.7
Kota Madiun,15818.6,17256.2
Kota Surabaya,655616.2,715294.7
Kota Batu,18587.6,20524.3
Jawa Timur,2731358.8,2953546.9